course_type,course_title,course_rating,course_link,course_skill,course_job
Course,Programming for Level Design,3.8,https://www.coursera.org/learn/programming-level-design,[],"['UI/UX Designers', 'Chief Technology Officers (CTOs)', 'Machine Learning Engineers', 'Data Scientists', 'Software Engineers']"
Course,NPC Programming,4.1,https://www.coursera.org/learn/npc-programming,[],"['Chief Technology Officers (CTOs)', 'Software Engineers', 'Engineers', 'Chief Technology Officers (CTOs)', 'Software Engineers', 'Engineers']"
Course,Unity Services Implementation,3.8,https://www.coursera.org/learn/unity-services-implementation,[],"['Chief Technology Officers (CTOs)', 'Software Engineers', 'Engineers']"
Course,"Teacher SEL: Programs, Possibilities, and Contexts",4.8,https://www.coursera.org/learn/teacher-sel-programs,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,SEL Capstone,4.9,https://www.coursera.org/learn/sel-capstone,[],"['Teachers', 'Teachers']"
Course,Computer Architecture,4.8,https://www.coursera.org/learn/comparch,[],"['Machine Learning Engineers', 'Security Engineers', 'Engineers', 'Software Engineers', 'Data Engineers']"
Course,Analysis of Algorithms,4.8,https://www.coursera.org/learn/analysis-of-algorithms,[],"['Systems Engineers', 'Tutors', 'Machine Learning Engineers', 'Software Engineers', 'Traders', 'Systems Engineers', 'Tutors', 'Machine Learning Engineers', 'Software Engineers', 'Traders']"
Course,Logic for Economists,4.2,https://www.coursera.org/learn/logic-for-economists,[],"['Economists', 'Data Scientists', 'Accountants', 'Lawyers', 'Data Analysts', 'Economists', 'Data Scientists', 'Accountants', 'Lawyers', 'Data Analysts']"
Course,Electrodynamics: Electric and Magnetic Fields,4.8,https://www.coursera.org/learn/electrodynamics-electric-magnetic-fields,[],"['Data Scientists', 'Engineers', 'Researchers', 'Teachers', 'Professors']"
Course,Nanophotonics and Detectors,3.5,https://www.coursera.org/learn/nanophotonics-detectors,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Control of Nonlinear Spacecraft Attitude Motion,4.7,https://www.coursera.org/learn/nonlinear-spacecraft-attitude-control,[],"['Machine Learning Engineers', 'Engineers', 'Researchers', 'Data Scientists', 'Professors']"
Course,Electrodynamics: Analysis of Electric Fields,4.8,https://www.coursera.org/learn/electrodynamics-analysis-of-electric-fields,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Jacobi modular forms: 30 ans après,4.8,https://www.coursera.org/learn/modular-forms-jacobi,[],"['Data Scientists', 'Teachers', 'Engineers', 'Software Engineers', 'Data Scientists', 'Teachers', 'Engineers', 'Software Engineers']"
Course,Displays,4.3,https://www.coursera.org/learn/displays,[],"['Researchers', 'Engineers', 'Data Scientists', 'Teachers', 'Software Engineers']"
Course,Spacecraft Dynamics Capstone: Mars Mission,4.7,https://www.coursera.org/learn/capstone-mars-mission,[],"['Scientists', 'Machine Learning Engineers', 'Data Scientists', 'Engineers', 'Software Engineers']"
Course,"System Validation (4): Modelling Software, Protocols, and other behaviour",4.7,https://www.coursera.org/learn/system-validation-software-protocols,[],"['Data Engineers', 'Researchers', 'Data Scientists', 'Engineers', 'Software Engineers']"
Course,Advanced Grammar & Punctuation Project,4.3,https://www.coursera.org/learn/advanced-grammar-project,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,System Validation (3): Requirements by modal formulas,4.4,https://www.coursera.org/learn/system-validation-modal-formulas,[],"['Researchers', 'Data Scientists', 'Software Engineers', 'Project Managers', 'Engineers', 'Researchers', 'Data Scientists', 'Software Engineers', 'Project Managers', 'Engineers']"
